"parameterization","blocks","wtRange","hids","lrate","beta","outRule","constrainChannel","numChannel","train_length","spawn","propMatches","meanCats","sdCats","minCats","maxCats"
1,2,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,0.94,2.03,0.222701503353614,1,3
2,3,0.5,3,0.15,0,"linear",FALSE,2,1,0.05,0.95,1.99,0.224508441721109,1,3
3,2,1,3,0.15,0,"linear",FALSE,2,1,0.05,0.57,1.6,0.512470743190538,1,3
4,3,1,3,0.15,0,"linear",FALSE,2,1,0.05,0.64,1.67,0.493493012650993,1,3
5,2,0.5,6,0.15,0,"linear",FALSE,2,1,0.05,0.89,1.95,0.329523684408054,1,3
6,3,0.5,6,0.15,0,"linear",FALSE,2,1,0.05,0.93,1.97,0.264193072956086,1,3
7,2,1,6,0.15,0,"linear",FALSE,2,1,0.05,0.57,1.57,0.497569851956243,1,2
8,3,1,6,0.15,0,"linear",FALSE,2,1,0.05,0.56,1.56,0.498887651569859,1,2
9,2,0.5,3,0.6,0,"linear",FALSE,2,1,0.05,0.7,1.86,0.449915817041635,1,3
10,3,0.5,3,0.6,0,"linear",FALSE,2,1,0.05,0.85,1.86,0.348735088019777,1,2
11,2,1,3,0.6,0,"linear",FALSE,2,1,0.05,0.51,1.72,0.55194788218315,1,3
12,3,1,3,0.6,0,"linear",FALSE,2,1,0.05,0.67,1.68,0.468826172262151,1,2
13,2,0.5,6,0.6,0,"linear",FALSE,2,1,0.05,0.22,1.31,0.486068540704525,1,3
14,3,0.5,6,0.6,0,"linear",FALSE,2,1,0.05,0.28,1.28,0.451260859854213,1,2
15,2,1,6,0.6,0,"linear",FALSE,2,1,0.05,0.04,1.11,0.34509550720186,1,3
16,3,1,6,0.6,0,"linear",FALSE,2,1,0.05,0.13,1.13,0.337997668989631,1,2
17,2,0.5,3,0.15,10,"linear",FALSE,2,1,0.05,0.87,1.95,0.358870281282637,1,3
18,3,0.5,3,0.15,10,"linear",FALSE,2,1,0.05,0.94,2.01,0.224508441721109,1,3
19,2,1,3,0.15,10,"linear",FALSE,2,1,0.05,0.55,1.59,0.49431107042371,1,2
